Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,OWN
1,Arizona Cardinals (ARI),0,0,0,0,0,0,0,0,0,0,4.8%
2,Minnesota Vikings (MIN),0,0,0,0,0,0,0,0,0,0,70.6%
3,Tennessee Titans (TEN),0,0,0,0,0,0,0,0,0,0,28.9%
4,Tampa Bay Buccaneers (TB),0,0,0,0,0,0,0,0,0,0,51.8%
5,Los Angeles Rams (LAR),0,0,0,0,0,0,0,0,0,0,51.8%
6,San Francisco 49ers (SF),0,0,0,0,0,0,0,0,0,0,99.6%
7,Seattle Seahawks (SEA),0,0,0,0,0,0,0,0,0,0,31.4%
8,Los Angeles Chargers (LAC),0,0,0,0,0,0,0,0,0,0,48.5%
9,Pittsburgh Steelers (PIT),0,0,0,0,0,0,0,0,0,0,99.1%
10,Philadelphia Eagles (PHI),0,0,0,0,0,0,0,0,0,0,40.8%
11,Las Vegas Raiders (LV),0,0,0,0,0,0,0,0,0,0,2.5%
12,New York Jets (NYJ),0,0,0,0,0,0,0,0,0,0,58.0%
13,New York Giants (NYG),0,0,0,0,0,0,0,0,0,0,1.4%
14,New Orleans Saints (NO),0,0,0,0,0,0,0,0,0,0,82.7%
15,New England Patriots (NE),0,0,0,0,0,0,0,0,0,0,96.5%
16,Miami Dolphins (MIA),0,0,0,0,0,0,0,0,0,0,4.1%
17,Atlanta Falcons (ATL),0,0,0,0,0,0,0,0,0,0,2.0%
18,Kansas City Chiefs (KC),0,0,0,0,0,0,0,0,0,0,57.0%
19,Jacksonville Jaguars (JAC),0,0,0,0,0,0,0,0,0,0,4.6%
20,Indianapolis Colts (IND),0,0,0,0,0,0,0,0,0,0,81.3%
21,Houston Texans (HOU),0,0,0,0,0,0,0,0,0,0,8.8%
22,Green Bay Packers (GB),0,0,0,0,0,0,0,0,0,0,25.2%
23,Detroit Lions (DET),0,0,0,0,0,0,0,0,0,0,4.1%
24,Denver Broncos (DEN),0,0,0,0,0,0,0,0,0,0,77.7%
25,Dallas Cowboys (DAL),0,0,0,0,0,0,0,0,0,0,44.3%
26,Cleveland Browns (CLE),0,0,0,0,0,0,0,0,0,0,26.2%
27,Cincinnati Bengals (CIN),0,0,0,0,0,0,0,0,0,0,4.3%
28,Chicago Bears (CHI),0,0,0,0,0,0,0,0,0,0,82.6%
29,Carolina Panthers (CAR),0,0,0,0,0,0,0,0,0,0,2.7%
30,Buffalo Bills (BUF),0,0,0,0,0,0,0,0,0,0,98.3%
31,Baltimore Ravens (BAL),0,0,0,0,0,0,0,0,0,0,98.2%
32,Washington Redskins (WAS),0,0,0,0,0,0,0,0,0,0,12.1%
