Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,CatchRate,FUM,DPI
C.Clay,ARI,75,64,45.3%,37.6%,24,237,285,1,75%,0,0/0
J.Graham,ATL,55,53,74.0%,70.5%,10,149,177,1,90%,0,0/0
M.Williams,ARI,51,45,30.0%,26.1%,19,202,224,1,79%,0,0/0
J.O'Shaughnessy,JAX,34,26,19.3%,12.6%,20,153,184,2,70%,0,0/0
R.Seals-Jones,CLE,28,39,10.2%,16.8%,22,229,198,4,64%,1,0/0
J.Horsted,CHI,28,26,43.0%,40.6%,10,87,106,1,80%,0,0/0
D.Arnold,2TM,21,27,16.6%,23.5%,14,127,121,2,57%,0,0/0
V.Green,LAC,18,13,12.4%,7.3%,13,78,118,1,69%,0,1/22
M.Alie-Cox,IND,14,17,13.6%,18.0%,11,93,87,0,73%,0,0/0
M.Lewis,GB,13,14,2.5%,3.2%,19,156,145,1,79%,0,0/0
A.Beck,DEN,13,14,9.1%,10.4%,12,90,97,1,75%,0,0/0
S.DeValve,JAX,12,3,3.3%,-4.8%,18,140,123,0,67%,0,0/0
R.Tonyan,GB,10,5,4.5%,-2.0%,15,100,97,1,67%,0,0/0
N.Vannett,2TM,10,5,0.9%,-3.6%,22,166,127,0,77%,0,0/0
T.Sweeney,BUF,7,7,1.7%,2.2%,13,114,79,0,62%,0,0/0
L.Willson,SEA,7,12,2.2%,9.8%,10,79,74,0,80%,0,0/0
D.Brown,NYJ,6,4,0.4%,-1.4%,11,72,75,1,64%,0,0/0
B.Braunecker,CHI,5,2,0.0%,-5.1%,11,59,75,1,55%,0,0/0
H.Hentges,WAS,4,-2,-2.7%,-9.4%,14,103,91,1,57%,0,0/0
J.Perkins,PHI,4,4,-2.0%,-2.5%,13,87,78,1,69%,0,0/0
B.Watson,NE,3,-6,-5.2%,-11.0%,24,173,142,0,71%,0,0/0
J.Heuerman,DEN,-4,0,-9.7%,-7.6%,20,114,117,1,70%,0,0/0
M.LaCosse,NE,-5,-5,-10.8%,-11.2%,19,131,96,1,68%,0,0/0
N.O'Leary,2TM,-7,-7,-12.9%,-13.2%,18,109,85,1,72%,1,1/4
A.Shaheen,CHI,-9,-14,-17.1%,-23.0%,13,74,57,0,69%,0,0/0
D.Njoku,CLE,-10,-10,-23.7%,-23.9%,10,41,30,1,50%,0,0/0
T.Kroft,BUF,-11,-15,-20.2%,-23.9%,14,71,49,1,43%,0,0/0
T.Conklin,MIN,-14,-14,-27.9%,-27.7%,10,58,26,0,80%,0,0/0
D.Carrier,OAK,-19,-23,-21.8%,-24.2%,19,108,70,1,68%,0,0/0
D.Smythe,MIA,-20,-32,-31.0%,-45.4%,14,65,28,0,50%,0,0/0
R.Dwelley,SF,-21,-10,-21.1%,-13.9%,22,91,81,2,68%,0,1/3
V.Davis,WAS,-28,-29,-29.6%,-30.3%,19,123,44,1,53%,0,0/0
B.Bell,KC,-40,-39,-50.1%,-48.4%,15,67,-9,0,53%,0,0/0
G.Swaim,JAX,-42,-46,-52.7%,-57.7%,17,65,-14,0,76%,0,0/0
L.Stocker,ATL,-61,-57,-75.5%,-71.0%,14,53,-58,0,57%,1,0/0
T.Burton,CHI,-65,-68,-49.1%,-51.0%,24,84,-11,0,58%,0,0/0
