Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM,DPI
W.Fuller,HOU,180,190,34.6%,37.4%,45,503,574,4,71%,0,2/79
R.Foster,BUF,135,141,26.2%,27.9%,44,541,483,3,61%,0,1/43
T.Smith,NO,126,126,22.7%,22.6%,44,427,477,5,64%,0,0/0
D.Pettis,SF,109,114,16.8%,18.1%,45,467,461,5,60%,0,3/32
Ja.Brown,SEA,100,93,58.0%,52.9%,19,166,263,5,74%,0,0/0
B.Perriman,CLE,97,86,36.6%,31.1%,25,340,305,2,64%,0,0/0
J.Matthews,PHI,84,86,28.8%,30.0%,28,300,288,2,71%,0,0/0
D.Inman,IND,69,77,9.1%,11.8%,39,304,358,3,72%,0,2/9
D.Robinson,KC,68,54,13.5%,8.2%,33,288,306,4,67%,0,0/0
G.Allison,GB,66,46,16.8%,7.6%,30,303,281,2,67%,1,0/0
A.Wilson,MIA,63,65,10.8%,11.3%,35,391,312,4,74%,0,0/0
K.Kirkwood,NO,58,60,23.5%,24.4%,21,209,217,2,62%,0,0/0
P.Dorsett,NE,56,73,5.4%,10.6%,42,290,337,3,76%,0,0/0
M.Goodwin,SF,51,40,1.7%,-1.5%,44,395,365,4,52%,1,0/0
B.LaFell,OAK,48,47,26.9%,26.8%,16,135,168,2,75%,0,0/0
P.Richardson,WAS,48,54,4.1%,6.4%,35,262,301,2,57%,0,2/62
R.Shepard,NYG,47,47,20.5%,20.6%,19,188,186,2,53%,0,0/0
A.Robinson,MIN,47,47,4.0%,4.1%,35,231,298,5,49%,0,2/24
T.Pryor,2TM,42,40,6.1%,4.9%,30,252,245,2,53%,0,0/0
C.Latimer,NYG,40,42,19.7%,21.0%,16,190,160,1,69%,0,0/0
D.Burnett,NYJ,37,26,19.7%,10.4%,15,143,147,0,67%,0,0/0
A.Carr,NO,35,37,17.3%,19.7%,14,97,145,2,64%,0,1/25
T.J.Jones,DET,30,23,1.6%,-1.7%,27,190,213,2,70%,0,0/0
T.Sharpe,TEN,30,22,-4.9%,-6.9%,47,316,356,2,55%,0,1/7
C.Patterson,NE,29,32,0.6%,1.8%,28,247,220,3,75%,0,0/0
C.Moore,BAL,28,23,2.5%,-0.4%,25,196,191,1,76%,0,0/0
D.Carter,2TM,24,13,0.3%,-5.3%,25,216,184,0,88%,1,0/0
T.Quinn,WAS,22,22,14.9%,14.9%,10,75,97,1,90%,0,0/0
J.Grant,MIA,21,26,-4.6%,-2.7%,34,268,244,2,62%,0,1/3
C.Meredith,NO,21,29,16.9%,28.3%,10,114,89,1,90%,1,1/14
T.Austin,DAL,19,25,5.1%,11.0%,13,140,116,2,62%,0,0/0
J.Kumerow,GB,19,26,8.8%,17.0%,11,103,99,1,73%,0,0/0
T.Sherfield,ARI,18,33,-4.3%,3.2%,28,210,196,1,68%,0,0/0
B.Butler,2TM,17,7,9.6%,-3.1%,10,60,87,1,60%,0,0/0
E.St. Brown,GB,16,30,-7.2%,-2.2%,36,328,259,0,58%,0,1/21
C.Batson,TEN,15,14,4.7%,3.7%,11,88,93,0,73%,0,0/0
M.Bryant,OAK,13,12,-6.7%,-6.8%,27,266,192,0,70%,1,0/0
R.James,SF,11,14,-2.8%,0.0%,14,130,103,1,64%,0,0/0
A.Hurns,DAL,9,22,-9.3%,-4.9%,35,295,239,2,57%,1,0/0
V.Smith,HOU,8,3,-3.3%,-8.5%,10,91,78,1,50%,0,0/0
A.Holmes,2TM,7,0,-8.7%,-12.5%,24,162,158,0,54%,0,1/16
K.Coutee,HOU,7,7,-10.5%,-10.4%,41,287,253,1,68%,0,0/0
T.Smith,CAR,7,19,-10.0%,-4.8%,31,190,210,2,55%,0,1/16
R.Switzer,PIT,5,-7,-11.1%,-14.5%,44,253,299,1,82%,0,1/28
B.Powell,DET,4,2,-9.2%,-11.5%,17,129,112,0,65%,0,0/0
T.Benjamin,LAC,2,-5,-11.7%,-15.5%,24,186,148,1,50%,0,0/0
M.Hall,ATL,1,1,-12.0%,-12.0%,19,149,116,1,53%,0,0/0
C.Core,CIN,0,-14,-12.8%,-19.1%,28,160,173,1,46%,0,1/35
J.Hardy,ATL,0,11,-12.8%,-6.8%,22,133,147,2,64%,0,0/0
D.Jennings,TEN,-1,-2,-13.2%,-14.9%,15,101,88,0,73%,0,0/0
D.Ratley,CLE,-2,-5,-14.3%,-15.9%,20,144,122,0,65%,0,0/0
A.Erickson,CIN,-8,-4,-16.4%,-14.4%,29,167,169,0,69%,0,2/24
R.Gage,ATL,-9,-10,-24.2%,-25.4%,10,63,49,0,60%,0,0/0
E.Rogers,PIT,-10,-11,-20.8%,-21.9%,14,79,84,0,86%,1,1/26
B.Fowler,NYG,-12,-7,-18.4%,-16.0%,27,199,152,1,59%,1,0/0
T.Patrick,DEN,-16,-20,-17.6%,-19.0%,41,315,236,1,56%,2,0/0
B.Marshall,SEA,-16,-20,-22.3%,-24.8%,23,136,112,1,48%,0,0/0
D.Hamilton,DEN,-20,-32,-18.1%,-21.1%,46,243,275,2,65%,0,1/2
T.Ginn,NO,-21,-9,-21.6%,-16.7%,30,209,156,2,57%,1,0/0
Tr.Taylor,SF,-21,-24,-19.4%,-20.6%,40,215,221,1,65%,0,2/11
I.McKenzie,BUF,-25,-23,-23.8%,-22.7%,30,179,147,0,60%,0,0/0
J.Bellamy,CHI,-26,-28,-25.5%,-26.6%,25,117,124,1,56%,0,0/0
D.Thompson,2TM,-27,-22,-24.1%,-22.0%,30,161,152,0,57%,0,1/17
Z.Pascal,IND,-28,-25,-20.5%,-19.8%,46,268,250,2,59%,0,0/0
A.Roberts,NYJ,-29,-35,-34.3%,-38.5%,18,79,67,1,56%,0,0/0
P.Garcon,SF,-31,-37,-21.3%,-23.1%,46,286,243,1,52%,0,0/0
A.Jones,DET,-31,-44,-29.0%,-35.6%,24,80,109,1,46%,0,0/0
J.Washington,PIT,-37,-51,-25.1%,-29.5%,38,217,190,1,42%,0,0/0
M.Ateman,OAK,-38,-57,-28.5%,-36.6%,31,154,137,1,48%,0,0/0
J.J.Nelson,ARI,-46,-40,-41.6%,-37.6%,19,64,62,0,37%,0,2/40
A.Tate,CIN,-48,-55,-65.0%,-73.6%,12,35,4,0,33%,0,0/0
D.Parker,MIA,-52,-59,-26.6%,-28.6%,48,309,226,1,52%,0,0/0
J.Hunter,PIT,-54,-65,-64.2%,-74.0%,13,21,6,0,23%,0,0/0
B.Ellington,2TM,-56,-54,-30.3%,-29.7%,42,224,175,1,74%,0,0/0
M.Floyd,WAS,-58,-53,-43.2%,-40.7%,24,100,68,1,42%,0,0/0
M.Harris,WAS,-73,-66,-33.2%,-31.1%,47,304,181,0,60%,0,0/0
DJ Chark,JAX,-90,-95,-47.4%,-49.0%,32,174,78,0,44%,1,0/0
C.Williams,ARI,-142,-139,-53.5%,-52.5%,46,171,74,1,37%,0,0/0
