Player,Team,DYAR,Rk,YAR,Rk.1,DVOA,Rk.2,VOA,Runs,Yards,EYds,TD,FUM,Suc  Rate,Rk.3
T.Gurley,LAR,366,1,342,1,23.6%,1,21.5%,256,1251,1572,17,0,57%,4
D.Henry,TEN,281,2,234,4,23.1%,2,17.8%,215,1059,1217,12,0,51%,16
A.Kamara,NO,238,3,281,2,18.5%,4,23.5%,194,896,1139,14,0,58%,2
M.Mack,IND,216,4,177,9,16.8%,8,12.2%,195,912,1085,9,1,54%,8
M.Gordon,LAC,210,5,239,3,20.8%,3,24.9%,175,885,955,10,0,53%,9
P.Lindsay,DEN,203,6,228,5,17.3%,6,20.5%,192,1037,1005,9,0,49%,22
C.McCaffrey,CAR,167,7,181,8,9.6%,10,11.3%,219,1099,1057,7,2,55%,5
J.Mixon,CIN,154,8,154,10,6.4%,13,6.4%,237,1168,1132,8,0,49%,23
E.Elliott,DAL,149,9,121,15,2.9%,20,0.8%,304,1436,1354,6,6,50%,18
A.Jones,GB,146,10,184,7,17.1%,7,23.8%,133,728,725,9,1,55%,6
K.Hunt,KC,134,11,133,13,9.1%,11,8.9%,181,840,871,8,0,55%,7
C.Carson,SEA,133,12,134,12,3.9%,17,4.0%,247,1151,1133,9,3,51%,15
G.Edwards,BAL,130,13,202,6,13.9%,9,26.5%,137,718,706,2,0,63%,1
S.Barkley,NYG,127,14,45,24,3.3%,18,-4.4%,261,1307,1128,11,0,41%,40
K.Johnson,DET,124,15,112,17,17.5%,5,14.9%,118,641,612,3,1,53%,12
J.Conner,PIT,99,16,137,11,2.3%,21,6.5%,215,972,943,12,3,49%,24
F.Gore,MIA,86,17,70,22,5.7%,14,3.1%,156,722,660,0,1,50%,19
N.Chubb,CLE,80,18,129,14,1.1%,24,7.0%,192,996,841,8,0,50%,19
M.Davis,SEA,80,19,115,16,9.0%,12,16.7%,112,514,522,4,0,52%,14
M.Ingram,NO,71,20,94,20,2.9%,19,6.6%,138,645,648,6,2,57%,3
A.Ekeler,LAC,59,21,73,21,4.9%,15,8.0%,106,554,474,3,0,52%,13
K.Drake,MIA,58,22,22,29,4.7%,16,-3.6%,120,535,474,4,2,45%,33
M.Breida,SF,58,23,97,19,1.3%,23,7.9%,153,814,601,3,1,46%,30
S.Michel,NE,58,24,101,18,-2.7%,26,1.7%,209,933,938,6,1,53%,11
J.Williams,GB,52,25,26,27,1.7%,22,-3.4%,121,464,513,3,0,45%,32
I.Crowell,NYJ,37,26,26,26,-1.9%,25,-3.7%,143,685,526,7,0,36%,46
L.Miller,HOU,28,27,46,23,-5.3%,28,-3.0%,210,973,766,5,0,44%,35
A.Peterson,WAS,26,28,-13,36,-6.0%,29,-9.9%,251,1042,917,7,2,47%,28
L.Murray,MIN,25,29,16,31,-4.2%,27,-5.7%,140,578,532,6,0,46%,31
T.Coleman,ATL,14,30,8,32,-6.4%,30,-7.3%,167,800,601,4,1,43%,37
R.Freeman,DEN,10,31,29,25,-6.8%,31,-3.5%,130,521,503,5,1,46%,29
A.Collins,BAL,-4,32,-12,35,-9.4%,33,-11.2%,114,418,386,7,3,47%,26
L.Fournette,JAX,-4,33,-4,34,-9.3%,32,-9.3%,133,439,491,6,0,47%,26
J.Adams,PHI,-12,34,-16,37,-11.0%,34,-11.6%,120,511,423,3,1,50%,19
T.J.Yeldon,JAX,-17,35,-22,38,-12.5%,39,-13.7%,104,414,341,1,1,48%,25
C.Hyde,2TM,-18,36,-93,43,-11.0%,35,-21.3%,172,588,601,5,2,39%,42
C.Ivory,BUF,-27,37,-45,40,-14.3%,42,-18.3%,115,385,358,1,1,44%,34
D.Cook,MIN,-27,38,-27,39,-13.7%,41,-13.7%,133,616,411,2,2,41%,41
D.Martin,OAK,-27,39,19,30,-12.2%,37,-6.0%,172,725,601,4,3,53%,10
J.Howard,CHI,-28,40,25,28,-11.1%,36,-6.3%,250,935,892,9,2,50%,17
P.Barber,TB,-37,41,-83,42,-12.4%,38,-17.2%,234,871,773,6,1,44%,36
Da.Johnson,ARI,-42,42,0,33,-12.6%,40,-8.6%,258,940,823,7,2,38%,43
D.Lewis,TEN,-69,43,-130,46,-20.1%,43,-30.3%,155,517,401,1,1,34%,47
A.Blue,HOU,-93,44,-98,44,-23.0%,44,-23.8%,150,499,405,2,0,41%,39
A.Morris,SF,-103,45,-60,41,-30.5%,47,-21.4%,111,429,236,2,2,41%,38
L.McCoy,BUF,-109,46,-119,45,-26.2%,45,-27.8%,161,514,355,3,0,37%,45
L.Blount,DET,-125,47,-142,47,-27.9%,46,-30.4%,154,418,355,5,1,37%,44
