Player,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,EYds,TD,FUM
C.J.Anderson,2TM,141,135,41.2%,39.0%,67,403,473,2,0
Da.Williams,KC,79,66,26.4%,20.7%,50,257,323,4,1
Z.Zenner,DET,68,77,19.3%,22.7%,55,265,322,3,0
J.Wilkins,IND,61,58,15.0%,13.8%,60,336,324,1,0
K.Bibbs,2TM,58,49,50.9%,41.8%,21,103,178,3,0
R.Penny,SEA,56,53,8.9%,7.9%,85,419,367,2,0
J.White,NE,42,41,1.6%,1.3%,94,425,421,5,0
W.Smallwood,PHI,41,53,3.1%,6.5%,87,364,369,3,1
R.Mostert,SF,40,60,19.4%,33.1%,34,261,189,1,1
K.Dixon,BAL,38,58,8.1%,16.4%,60,337,260,2,2
S.Ware,KC,38,32,9.0%,6.1%,51,246,249,2,0
M.Murphy,BUF,36,31,10.6%,7.8%,52,250,219,0,0
M.Brown,LAR,36,37,9.7%,10.4%,43,212,225,0,0
W.Gallman,NYG,30,11,7.3%,-2.7%,51,176,209,1,0
D.Booker,DEN,27,43,9.6%,19.9%,34,183,175,1,0
M.Lynch,OAK,25,51,-2.3%,4.4%,90,376,381,3,0
Du.Johnson,CLE,24,21,7.2%,5.3%,40,201,167,0,0
D.Sproles,PHI,19,19,8.5%,8.0%,29,120,128,1,0
J.Samuels,PIT,17,15,-1.3%,-2.2%,56,256,231,0,0
T.Montgomery,2TM,17,25,0.9%,5.9%,42,188,177,1,1
G.Bernard,CIN,16,18,-1.6%,-0.7%,56,211,224,3,0
K.Ballage,MIA,16,0,1.0%,-8.5%,36,186,167,1,1
Dw.Washington,NO,12,17,3.1%,8.3%,27,154,109,0,0
J.Jackson,LAC,6,39,-6.0%,9.1%,50,206,198,2,0
T.Riddick,DET,5,13,-4.7%,0.5%,40,171,130,0,0
J.Rodgers,TB,1,-7,-7.6%,-14.3%,33,106,105,1,0
R.Burkhead,NE,1,-43,-8.2%,-27.2%,57,186,200,0,1
B.Hill,ATL,-2,10,-10.8%,4.9%,20,157,61,0,1
J.Wilson,SF,-2,-20,-9.4%,-16.0%,66,266,231,0,3
K.Ford,BUF,-6,-2,-15.0%,-11.0%,21,79,68,0,0
R.Smith,DAL,-8,-24,-12.8%,-20.8%,44,127,156,1,0
T.Cannon,NYJ,-10,-31,-14.7%,-28.3%,38,113,121,1,0
N.Hines,IND,-12,-16,-11.8%,-12.8%,85,313,304,2,1
R.Jones,TB,-15,-24,-24.3%,-34.1%,23,44,56,1,0
J.Kelly,LAR,-15,-23,-22.3%,-29.5%,27,74,69,0,0
D.Washington,OAK,-16,-5,-19.6%,-12.0%,29,111,96,0,1
B.Allen,BAL,-16,-19,-16.3%,-18.0%,41,113,148,3,0
T.Cohen,CHI,-17,0,-12.9%,-8.5%,99,445,313,3,2
I.Smith,ATL,-19,-12,-13.4%,-11.6%,90,318,301,4,1
J.Ajayi,PHI,-19,5,-17.9%,-6.0%,45,184,145,3,1
C.Edmonds,ARI,-27,-11,-18.9%,-12.8%,60,208,182,2,1
J.Richard,OAK,-28,-7,-20.3%,-11.3%,55,259,160,1,2
C.Clement,PHI,-31,-28,-19.9%,-18.8%,68,259,187,2,2
B.Powell,NYJ,-34,-33,-19.9%,-19.6%,80,343,203,0,2
C.Thompson,WAS,-35,-45,-30.7%,-36.9%,43,178,78,0,1
S.Ridley,PIT,-45,-40,-48.0%,-43.7%,29,80,25,1,1
E.McGuire,NYJ,-90,-104,-32.1%,-35.9%,92,276,183,3,2
