Player,Team,DYAR,Rk,YAR,Rk.1,DVOA,Rk.2,VOA,Runs,Yards,TD,FUM
D.Samuel,SF,111,1,116,1,107.6%,2,114.1%,14,159,3,0
C.Samuel,CAR,97,2,94,2,54.2%,7,50.6%,19,130,1,0
R.Woods,LAR,59,3,68,3,24.9%,11,35.0%,17,115,1,0
C.Kirk,ARI,55,4,56,4,55.6%,6,57.3%,10,93,0,0
S.Shepard,NYG,50,5,42,6,156.5%,1,125.7%,6,72,0,0
S.Diggs,MIN,44,6,44,5,103.1%,3,102.5%,5,61,0,0
B.Cooks,LAR,32,7,32,9,48.1%,8,47.9%,6,52,0,0
D.J.Moore,CAR,32,8,26,10,59.8%,5,42.3%,6,40,0,0
C.Patterson,CHI,32,9,34,7,-7.5%,17,-4.6%,17,103,0,0
N.Harry,NE,30,10,33,8,62.7%,4,73.5%,5,49,0,0
S.Sims,WAS,28,11,26,11,29.4%,10,25.2%,9,85,1,0
I.McKenzie,BUF,21,12,23,12,4.5%,15,7.7%,8,49,0,0
A.Wilson,MIA,21,13,21,13,32.4%,9,32.7%,5,45,0,0
T.Austin,DAL,20,14,20,14,22.6%,12,23.2%,6,47,1,1
D.Westbrook,JAX,13,15,14,16,17.2%,13,23.9%,5,27,0,0
A.Erickson,CIN,12,16,18,15,8.2%,14,30.2%,5,33,0,0
J.Edelman,NE,12,17,8,18,-13.9%,18,-22.6%,8,27,0,0
J.Reynolds,LAR,8,18,10,17,-5.9%,16,1.0%,5,23,0,0
T.Hill,KC,4,19,5,19,-30.2%,19,-28.8%,8,23,0,0
G.Kittle,SF,1,20,4,20,-32.4%,20,-20.5%,5,22,0,0
