Player,Team,DYAR,Rk,YAR,Rk.1,DVOA,Rk.2,VOA,QBR,Rk.3,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
D.Prescott,DAL,1541,1,1562,1,27.1%,6,27.6%,70.2,4,619,4734,5334,30,3,2,9,65.3%,6/97,2.3
P.Mahomes,KC,1320,2,1354,2,30.0%,3,31.0%,76.3,2,501,3901,4382,26,0,2,5,66.0%,7/98,1.5
D.Brees,NO,1316,3,1338,3,39.8%,1,40.7%,71.7,3,385,2882,3873,27,0,0,4,75.5%,6/71,0.8
R.Wilson,SEA,1265,4,1073,5,24.3%,7,19.0%,69.8,5,561,3788,4599,31,4,1,5,66.5%,5/99,3.7
L.Jackson,BAL,1261,5,1242,4,34.9%,2,34.2%,81.8,1,422,3021,3922,36,0,0,6,66.4%,2/73,1.8
D.Carr,OAK,1064,6,1047,6,18.7%,8,18.2%,62.2,10,540,3858,4324,21,2,0,8,70.9%,5/92,1.3
K.Cousins,MIN,795,7,873,7,14.3%,10,16.8%,58.4,13,476,3375,3597,26,6,3,6,69.3%,8/115,2.3
A.Rodgers,GB,794,8,817,9,9.0%,13,9.6%,50.4,20,605,3707,4250,26,0,4,4,62.3%,12/206,4.1
M.Stafford,DET,776,9,842,8,28.8%,4,32.2%,69.6,6,307,2360,2622,19,1,2,5,64.7%,2/57,3.0
R.Tannehill,TEN,773,10,758,11,28.0%,5,27.2%,62.2,9,315,2529,2645,22,3,3,6,71.0%,3/79,2.9
J.Garoppolo,SF,724,11,765,10,10.8%,11,12.1%,58.8,12,513,3727,3639,27,3,5,13,69.4%,10/116,-0.1
D.Watson,HOU,722,12,645,14,9.5%,12,7.3%,68.7,7,538,3580,3798,26,3,3,12,67.7%,2/10,1.2
P.Rivers,LAC,714,13,721,12,6.6%,15,6.8%,48.6,24,625,4332,4203,23,5,3,20,66.7%,16/228,2.0
M.Ryan,ATL,712,14,603,16,7.0%,14,4.2%,57.6,14,628,3981,4126,26,4,4,14,66.9%,8/176,2.5
J.Goff,LAR,552,15,493,17,2.0%,18,0.6%,48.5,25,649,4422,4140,22,5,4,16,63.2%,6/61,1.8
T.Brady,NE,550,16,621,15,2.4%,17,4.2%,53.7,17,639,3830,4015,24,1,1,8,61.3%,14/234,1.0
C.Wentz,PHI,476,17,685,13,0.1%,20,5.0%,60.8,11,645,3788,4075,27,6,5,6,64.0%,6/111,2.7
R.Fitzpatrick,MIA,432,18,313,20,1.3%,19,-2.1%,66.5,8,541,3314,3403,20,4,1,13,62.3%,9/123,4.0
J.Brissett,IND,414,19,479,18,2.6%,16,4.8%,50.1,21,473,2786,2988,18,2,4,6,61.5%,10/217,-0.3
T.Bridgewater,NO,340,20,335,19,15.3%,9,14.9%,48.9,22,208,1283,1499,9,1,0,2,68.2%,1/3,-1.4
K.Murray,ARI,305,21,191,23,-3.1%,21,-6.1%,55.7,15,588,3410,3464,20,3,1,12,65.0%,9/177,1.5
G.Minshew,JAX,193,22,259,21,-5.0%,22,-2.9%,42.6,29,503,3086,2794,21,4,6,6,60.8%,7/107,2.0
J.Winston,TB,92,23,211,22,-9.0%,24,-6.1%,53.7,16,662,4695,3506,32,7,5,29,61.3%,11/184,2.2
C.Keenum,WAS,51,24,109,24,-8.1%,23,-4.6%,43.5,28,260,1565,1413,11,2,2,5,65.3%,4/41,-1.3
B.Mayfield,CLE,48,25,-68,28,-9.8%,25,-13.0%,52.4,19,573,3516,3029,22,3,2,21,59.7%,14/155,1.6
A.Dalton,CIN,19,26,-63,27,-10.6%,26,-12.9%,40.1,30,558,3230,2934,16,1,4,14,60.4%,11/152,1.2
M.Trubisky,CHI,5,27,15,26,-11.0%,27,-10.7%,39.5,31,551,2909,2853,17,1,2,9,63.5%,7/65,1.5
J.Allen,BUF,-21,28,34,25,-11.8%,28,-10.1%,47.3,26,497,2827,2475,20,3,3,9,59.4%,5/111,3.4
J.Flacco,DEN,-144,29,-170,31,-18.8%,29,-20.2%,48.7,23,287,1635,1308,6,4,3,5,65.8%,5/79,-0.3
M.Rudolph,PIT,-225,30,-121,29,-23.0%,33,-17.5%,34.4,33,298,1632,1222,13,4,0,9,62.4%,7/182,-0.2
D.Jones,NYG,-256,31,-244,32,-19.2%,30,-18.8%,53.6,18,498,2733,2212,24,4,8,12,61.9%,4/87,0.7
S.Darnold,NYJ,-290,32,-129,30,-20.4%,31,-15.2%,43.6,27,475,2819,2136,19,5,3,13,62.2%,8/130,2.5
K.Allen,CAR,-395,33,-348,33,-22.4%,32,-21.1%,36.4,32,536,2916,2295,17,5,7,16,62.2%,4/101,2.2
D.Haskins,WAS,-443,34,-412,34,-42.0%,34,-39.8%,26.4,34,232,1148,556,7,2,2,7,58.9%,3/35,0.2
